Id,StageName,CreatedDate,OpportunityId
0080L00001ZxGWlQAN,Closed Lost,2018-02-12T20:36:06.000+0000,0060L00000goN9VQAU
0080L00001YwidrQAB,Closed Lost,2018-01-08T22:55:33.000+0000,0060L00000goNMZQA2
0080L00001Wh93rQAB,Presentation Delivered,2017-09-28T19:48:39.000+0000,0060L00000goNMZQA2
0080L00001Wh93mQAB,Warm: Buying Signals,2017-09-28T19:48:30.000+0000,0060L00000goNMZQA2
0080L00001Pref3QAB,Warm: Buying Signals,2017-02-08T19:34:36.000+0000,0060L00000goNMZQA2
0080L00001PreEbQAJ,Closed Lost,2017-02-08T18:55:18.000+0000,0060L00000goNMZQA2
0080h00002qlfFsAAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNYIQA2
0080h00002qlfFtAAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNYrQAM
0080h00002qlfFuAAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNZ6QAM
0080h00002qlfFvAAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNZBQA2
0080h00002qlfFwAAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNZVQA2
0080h00002qlfFxAAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNZpQAM
0080h00002qlfFyAAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNZzQAM
0080h00002qlfFzAAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNaOQAU
0080h00002qlfG0AAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNaiQAE
0080h00002qlfG1AAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNc5QAE
0080h00002qlfG2AAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNcAQAU
0080h00002qlfG3AAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNcPQAU
0080h00002qlfG4AAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNcZQAU
0080h00002qlfG5AAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNdIQAU
0080h00002qlfG6AAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNdXQAU
0080h00002qlmfaAAA,Closed Lost,2018-09-27T19:58:05.000+0000,0060L00000goNeGQAU
0080h00002qlfG7AAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNeLQAU
0080h00002qlfG8AAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNeQQAU
0080h00002qlfG9AAI,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNeVQAU
0080h00002qlfGAAAY,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNefQAE
0080h00002qlfGBAAY,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNf4QAE
0080h00002qlfGCAAY,Closed Lost,2018-09-25T18:06:55.000+0000,0060L00000goNf9QAE
