"_","Id","Name","AccountId","IsClosed","IsWon","Type","Industry__c","CloseDate","StageName","Lost_Reason__c","Lost_to_Competitor__c","With_Competitor__c","Won_Loss_Detail__c","Description"
"[Opportunity]","0060L00000i5GHgQAM","The Nicholson Cos. - AAAA","001E000000vwBCBIA2","true","true","New Business","Multi-Family","2015-02-20","Closed Won","","","Reputation.com","",""
"[Opportunity]","0060L00000i5GHoQAM","Village Green (98/120)","001E000000UfcdSIAR","true","true","New Business","Multi-Family","2016-04-29","Closed Won","","","","",""
"[Opportunity]","0060L00000i5GHuQAM","Wildflower","001E000000qJiguIAC","true","true","New Business","Restaurant","2015-11-30","Closed Won","","","","",""
"[Opportunity]","0060L00000i5UUVQA2","Alliance Management QSR - 6/2017","001E000000ws4tvIAA","true","false","New Business","Restaurant","2017-06-30","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i5UZBQA2","Community Trust Bank Inc - 6/2017","001E000001cEPcdIAG","true","false","New Business","Financial Services","2017-06-29","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i5UbgQAE","Massage Heights Corporate, LLC - 4/2017","001E00000166O10IAE","true","false","New Business","Local Services","2017-04-24","Closed Lost","No Show","","","",""
"[Opportunity]","0060L00000i5UgvQAE","Coramark, Inc - 7/2017","001E000000heZEeIAM","true","false","New Business","Restaurant","2017-07-31","Closed Lost","Delayed Opportunity","","Other","","4-3 Hi Tania,
I hope your doing good. I’m sorry for the delay, rest assured Chatmeter is still in our plans. If we are to move forward it won’t be before May because we have a lot of projects going on right now and we need more time to put everything in place. I didn’t have time to contact Mrs Costei yet, but should be done shortly.

Thanks a lot for your follow up. I will contact you if I need more information.


3-21  Spoke with Veronique - Valerie Harkins' project now.  Looking at another referral  Great idea to show the dashboard to the team.  Valerie is sick -  Call back tomorrow.  Going forward in May. - (450) 435-2426

2-26 Sent them 2 Canadian referrals.  They are calling them in a few days.

Great call with Veronique and Valerie. 128 locations throughout Canada.  Local SEO Search has become a much more important topic for them recently.  They need to sell this internally and asked specifically how much more this matters than Google Ad Words.  They need to create a budget and think they can move on this in the next 3-4 months.. Definitely will want Listings Management"
"[Opportunity]","0060L00000goUzDQAU","Han-Dee Hugo's - 1/2017","001E000001cEPlDIAW","true","false","New Business","Retail","2017-01-16","Closed Lost","Customer Changed Priorities","","","","Han-Dee Hugo’s

Manly Clark: Marketing

80 locs.. Confirmed.  
When Neil called….
Reviews (Solicit, Respond), Listings Management
•	Team, roles, time spent?
•	Tools use, used, seen, heard of?
Most important to you?


Heard of chatmeter before…in order to monitor online review
Used to use a similar tool for 5 months.  About 5 years ago.  Did some Instagram tags with old tool.  Couldn’t remember anything else.  

A little responding of reviews…not really 
Contact Us page for internal survey for complaints

No one is really doing anything.  
Very few reviews: 10 in the last 6 months.  Competitors are beating them with twice as many.  Huge opportunity to crush them.  
Listings are terrible.  
Working on getting money for new website.  
Budget/Fisal year is October 31st.  
Asked for a call back in December.  
Took the call b/c he was serious about moving into the digital age.  Likes what we do. Recognizes the real value.  
Priority 1 is new website and getting money for it.  


His boss is VP Mkg.  No one else.  No one is handling what we do.  They really are flying blind or have their heads in the sand."
"[Opportunity]","0060L00000goVDBQA2","Sbarro Inc. - 2/2017","001E000000gJ9HRIA0","true","false","New Business","Restaurant","2017-02-28","Closed Lost","Lost to Competitor","","Rio SEO","Reason Given: Price","Matt is the Director of Digital Marketing and he has been with the company since Feb of 2016

They currently have over 800 locations in the world
200 corporate owned in the US
200 franchised
400 are international franchises

They are testing a pilot brand called Fast Casual which is a different style of pizza that they would like to also include as well (Kitchen Cucinova)

The budget that will be used is for 2017 however he will use partial budget from 2016 to cover the first initial deployment

Matt wants to roll out this solution to the 200 corporate owned stores first as a pilot before they roll this out to the franchisees

He has already looked at MomentFeed & Yext

I had him agree that if we were to get our platform at the price he needed it to be at that he would move this deal forward mid November because he liked us the best (Shane)

He was transparent and said that his budget was allocated and he needs to be at around $150 per location per year with listing management in order to go with us (Shane)

They have an extremely fragmented system for all of their online review management and they are seriously looking at options now to move forward in November (Shane)

Currently they are using Hootsuite and another review generating tool - however it is not as good as ours (Shane)

SUSIE'S NOTES:  

2-17-17 -  I just gave him a price of $19 per loc for CM and LLM -  Lock for Life.  February close and use them as reference client.   BEST AND FINAL.  I think we're up against Sprinklr or BirdEye -  He won't tell me who, but says their a Certified Yelp Partner.  

Old info:
I have given him a price of $23 per location for CM and LLM plus Price Lock for Life -  Contingent upon closing in February and that we can use them as a reference client."
"[Opportunity]","0060L00000goVOJQA2","Mcgarrybowen - 11/2016","001E000001Ep6UKIAZ","true","false","New Business","Agency","2016-11-30","Closed Lost","Delayed Opportunity","","New Brand Analytics","",""
