Id,AccountId,IsClosed,IsWon,Type,Industry__c,CloseDate,StageName,Lost_Reason__c,Lost_to_Competitor__c,With_Competitor__c,Won_Loss_Detail__c
0060h000019Djc2AAC,0010h00001Xn6XnAAJ,FALSE,FALSE,New Business,Healthcare,2/28/2020,Assessing,,,Reputation.com,
0060h000019CTwbAAG,0010h00001Y0YRBAA3,FALSE,FALSE,New Business,Healthcare,12/28/2019,Assessing,,,,
0060h000019CZ67AAG,0010h00001Xn6Y5AAJ,FALSE,FALSE,New Business,Healthcare,12/27/2019,Validating,,,,
0060h000019CzWTAA0,0010h00001blJWmAAM,FALSE,FALSE,New Business,Healthcare,12/23/2019,Assessing,,,,
0060h00001AmUBXAA3,0010L00001muttJQAQ,FALSE,FALSE,New Business,Healthcare,12/7/2019,Prospecting,,,Reputation.com,
0060h000018OqmTAAS,0010L00001mutOHQAY,FALSE,FALSE,New Business,Healthcare,12/6/2019,Assessing,,,Yext,
0060h000019Dxl2AAC,0010L00001rIvpuQAC,FALSE,FALSE,New Business,Healthcare,12/6/2019,Prospecting,,,,
0060h000019DuGeAAK,0010h00001bmjg5AAA,FALSE,FALSE,New Business,Healthcare,12/3/2019,Prospecting,,,,
0060h000019Dq3QAAS,0010h00001bmhVNAAY,FALSE,FALSE,New Business,Healthcare,12/1/2019,Prospecting,,,,
0060h000018NvAcAAK,0010L00001mutyBQAQ,FALSE,FALSE,New Business,Healthcare,11/30/2019,Redlines,,,,
0060h000019DogQAAS,001E000001EqFJLIA3,FALSE,FALSE,New Business,Healthcare,11/30/2019,Assessing,,,,
0060h000018l1WCAAY,001E000000jBQmtIAG,FALSE,FALSE,New Business,Healthcare,11/29/2019,Confirming,,,,
0060h000019D7PkAAK,0010h00001ZJRIgAAP,FALSE,FALSE,New Business,Healthcare,11/22/2019,Validating,,,,
0060h000018lJ88AAE,0010L00001mutMnQAI,FALSE,FALSE,New Business,Healthcare,11/20/2019,Validating,,,,
0060h000019DWoYAAW,0010h00001Zp0eCAAR,FALSE,FALSE,New Business,Healthcare,11/17/2019,Prospecting,,,,
0060h000019DVLWAA4,001E000000jC9mBIAS,FALSE,FALSE,New Business,Healthcare,11/16/2019,Prospecting,,,,
0060h000019DMZaAAO,001E000000jBQkEIAW,FALSE,FALSE,New Business,Healthcare,11/8/2019,Confirming,,,,
0060h000019DJbYAAW,0010L00001mutPQQAY,FALSE,FALSE,New Business,Healthcare,11/5/2019,Assessing,,,Other,
0060h000019DEtnAAG,0010L00001mutgYQAQ,FALSE,FALSE,New Business,Healthcare,11/3/2019,Assessing,,,,
0060h000019DEAWAA4,0010L00001oQzXZQA0,FALSE,FALSE,New Business,Healthcare,11/3/2019,Prospecting,,,,
0060h000019DF6XAAW,001E000001fq9fmIAA,FALSE,FALSE,New Business,Healthcare,11/3/2019,Validating,,,,
0060h000018O0aJAAS,001E000001cEPewIAG,FALSE,FALSE,New Business,Healthcare,10/31/2019,Confirming,,,MOZ,
