Id,Name,IsClosed,IsWon,Type,Industry__c,CloseDate,StageName,Lost_Reason__c,Lost_to_Competitor__c,With_Competitor__c,Won_Loss_Detail__c,Description
0060h000019DiRFAA0,Pacifica Senior Living,FALSE,FALSE,New Business,Healthcare,10/11/2019,Redlines,,,Reputation.com,,
0060h000017JbBEAA0,Pacifica Senior Living- - 3/2019,TRUE,FALSE,New Business,Healthcare,3/13/2019,Closed Lost,Locked in Contract,,Reputation.com,Contract with Rep.com is up in September. Couldn't break it - needs to go on hold until July/August when she wants to switch.,
0060L00000jCDk4QAG,Pacifica Senior Living - 6/2017,TRUE,FALSE,New Business,Healthcare,6/20/2017,Closed Lost,Customer Stopped Responding,,Reputation.com,,
0060L00000mKxplQAC,Pacifica Senior Living - 3/2018,TRUE,FALSE,New Business,Healthcare,3/31/2018,Closed Lost,Delayed Opportunity,,Reputation.com,,
0060L00000h9F9RQAU,Pacifica Senior Living - 2/2018,TRUE,FALSE,New Business,Healthcare,2/8/2018,Closed Lost,Delayed Opportunity,,Reputation.com,,
0060h000018OXeWAAW,"Provision Living, LLC - New Business",TRUE,TRUE,New Business,Healthcare,7/30/2019,Closed Won,Product Feature: Reputation,,,"Win Details: Win Details: 

How they heard about us : Outbound Call/BDR (Brett).... Aleshia was new in role, happened to be great timing. 

Number of pitches throughout the sales cycle
1 discovery call/dashboard review 

Titles of Champion and Decision Maker
Aleshia- Digital and Social Media Manager
DM: Todd Spittal- CEO/President

Favorite Chatmeter products
All in one dashboard, review monitoring (PULSE) and responding

State if the contact ever went dark, how long, and how they came back (BDR got them back on, requested a demo)
Never went dark- Never went dark- communicated well the whole cycle 

Any marketing content downloads (case study, downloads, webinars, etc.):
n/a

Participation from other Chatmeter departments that assisted in the close 
n/a

Any hurdles the contact had to overcome on their side to sign the contract
Todd was against annual contract and wanted a Term for Convenience- I emailed him that we couldn't do that but that we would be willing to compromise in other ways- Lee joined the call and approved moving forward without auto renew. 

Length of sales cycle
1.5mo due to Aleshia moving and 2 week lag time between follow ups 

Competitors won against
Aleshia let me know she was shopping but would not divulge competitors other than mentioning Rep.com 

Sendoso: 
Sent Aleshia a Cheeseboard for her new house.",
0060h000016zF7XAAU,HarborChase - 4/2019,TRUE,FALSE,New Business,Healthcare,4/2/2019,Closed Lost,Reseller Opportunity,,,tanias reseller canablized this deal,
0060h000018MukBAAS,Brandywine Senior Living - 8/2019,TRUE,FALSE,New Business,Healthcare,8/21/2019,Closed Lost,Delayed Opportunity,,,The last email stated that other projects have come up and want us to touch base towards the end of the year.,
0060L00000mKs9pQAC,Brandywine Senior Living - 5/2018,TRUE,FALSE,New Business,Healthcare,5/31/2018,Closed Lost,Delayed Opportunity,,,,"Met with Laura at Global first.  They have 26 locations.  Don't get much reviews and don't actively ask for them.  Does everything manually and gets alerts from Google and FB and Yelp when there are reviews.  Been looking at companies who provide a kiosk or ""tablet"" to have at each senior living facility.  She was most interested in accessing our social media tab.  And also stated her IT department insists on having outside tech be integrated with their software.  Doesn't sound like a great opp.  Told her we can def provide her social and their IT can integrate with our API.  She wants followup but tempered it with really leaning to the kiosk solution."
0060L00000mKHTIQA4,Massage Luxe - 3/2018,TRUE,FALSE,New Business,Healthcare,3/31/2018,Closed Lost,Delayed Opportunity,,,,
0060L00000i6PJXQA2,Massage Luxe - 6/2017,TRUE,FALSE,New Business,Healthcare,6/5/2017,Closed Lost,Delayed Opportunity,,,,
